Target Link,Target Name,Target ID,Attacker 1,Attacker 1 Leader,Attacker 2,Attacker 2 Leader,Attacker 3,Attacker 3 Leader,,Defender 1,Defender 1 Leader,Defender 2,Defender 2 Leader,Defender 3,Defender 3 Leader,Defender 4,Defender 4 Leader,Defender 5,Defender 5 Leader
https://politicsandwar.com/nation/id=29045,Santa Rosa,29045,https://politicsandwar.com/nation/id=117448,Yuri B Molotov,https://politicsandwar.com/nation/id=163803,Haakon,https://politicsandwar.com/nation/id=112098,Miyamoto Musashi,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
https://politicsandwar.com/nation/id=61638,JoystVanDyke,61638,https://politicsandwar.com/nation/id=117448,Yuri B Molotov,https://politicsandwar.com/nation/id=163803,Haakon,https://politicsandwar.com/nation/id=112098,Miyamoto Musashi,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
https://politicsandwar.com/nation/id=154154,01Nation,154154,https://politicsandwar.com/nation/id=93798,Velium,https://politicsandwar.com/nation/id=125702,KingDracula,https://politicsandwar.com/nation/id=92845,Billy,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
https://politicsandwar.com/nation/id=157083,Tierra,157083,https://politicsandwar.com/nation/id=84969,Zeannon,https://politicsandwar.com/nation/id=125354,Strett,https://politicsandwar.com/nation/id=94113,Trouble 3,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
https://politicsandwar.com/nation/id=184908,Bharat country,184908,https://politicsandwar.com/nation/id=36823,New Suleiman,https://politicsandwar.com/nation/id=116152,Ion Constantinescu,https://politicsandwar.com/nation/id=123779,Asierith,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
https://politicsandwar.com/nation/id=127167,Rayken,127167,https://politicsandwar.com/nation/id=84969,Zeannon,https://politicsandwar.com/nation/id=125354,Strett,https://politicsandwar.com/nation/id=93798,Velium,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
https://politicsandwar.com/nation/id=169929,Hope landing,169929,https://politicsandwar.com/nation/id=36823,New Suleiman,https://politicsandwar.com/nation/id=123779,Asierith,https://politicsandwar.com/nation/id=116152,Ion Constantinescu,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
https://politicsandwar.com/nation/id=60251,The United States Of Lorhill,60251,https://politicsandwar.com/nation/id=148081,Madder Red,https://politicsandwar.com/nation/id=207627,GrandmasterBee,https://politicsandwar.com/nation/id=109837,Antonio,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
https://politicsandwar.com/nation/id=63381,Great Hyrule,63381,https://politicsandwar.com/nation/id=166244,Ricon,https://politicsandwar.com/nation/id=195412,Solomoriah,https://politicsandwar.com/nation/id=21196,Tyras Calidan,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
https://politicsandwar.com/nation/id=119163,Terok Nor,119163,https://politicsandwar.com/nation/id=21196,Tyras Calidan,https://politicsandwar.com/nation/id=148081,Madder Red,https://politicsandwar.com/nation/id=92845,Billy,,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!,,#ERROR!
